state,year,name,sex,count,rank_within_sex,per_100k_within_sex
US,1905,George,M,4256,4,3216.5
US,1905,Ruth,F,5068,5,1737.9
US,1905,Charles,M,3608,5,2726.8
US,1905,Elizabeth,F,4121,6,1413.1
US,1905,Robert,M,3410,6,2577.1
US,1905,Dorothy,F,3937,7,1350.0
US,1905,Joseph,M,3302,7,2495.5
US,1905,Mildred,F,3758,8,1288.7
US,1905,Frank,M,2837,8,2144.1
US,1905,Marie,F,3643,9,1249.2
US,1905,Edward,M,2366,9,1788.1
US,1905,Alice,F,3611,10,1238.2
US,1905,Thomas,M,2135,10,1613.5
US,1906,Mary,F,16370,1,5543.4
US,1906,John,M,8264,1,6206.2
US,1906,Helen,F,7176,2,2430.0
US,1906,William,M,6567,2,4931.8
US,1906,Margaret,F,6096,3,2064.3
US,1906,James,M,5908,3,4436.9
US,1906,Anna,F,5502,4,1863.2
US,1906,George,M,4201,4,3154.9
US,1906,Ruth,F,5140,5,1740.6
US,1906,Robert,M,3635,5,2729.9
US,1906,Dorothy,F,4326,6,1464.9
US,1906,Charles,M,3607,6,2708.8
US,1906,Elizabeth,F,4321,7,1463.2
US,1906,Joseph,M,3527,7,2648.8
US,1906,Alice,F,4192,8,1419.6
US,1906,Frank,M,2798,8,2101.3
US,1906,Mildred,F,3873,9,1311.5
US,1906,Edward,M,2398,9,1800.9
US,1906,Florence,F,3691,10,1249.9
US,1906,Thomas,M,2176,10,1634.2
US,1907,Mary,F,17580,1,5518.5
US,1907,John,M,8983,1,6118.0
US,1907,Helen,F,7579,2,2379.1
US,1907,William,M,6905,2,4702.7
US,1907,Margaret,F,6713,3,2107.3
US,1907,James,M,6707,3,4567.9
US,1907,Anna,F,5575,4,1750.0
US,1907,George,M,4445,4,3027.3
US,1907,Ruth,F,5573,5,1749.4
US,1907,Robert,M,4020,5,2737.9
US,1907,Dorothy,F,4967,6,1559.2
US,1907,Charles,M,3884,6,2645.2
US,1907,Elizabeth,F,4624,7,1451.5
US,1907,Joseph,M,3844,7,2618.0
US,1907,Mildred,F,4277,8,1342.6
US,1907,Frank,M,2943,8,2004.4
US,1907,Alice,F,4107,9,1289.2
US,1907,Edward,M,2576,9,1754.4
US,1907,Marie,F,3879,10,1217.6
US,1907,Henry,M,2203,10,1500.4
US,1908,Mary,F,18666,1,5583.4
US,1908,John,M,9342,1,6052.8
US,1908,Helen,F,8439,2,2524.3
US,1908,William,M,7528,2,4877.4
US,1908,Margaret,F,6976,3,2086.7
US,1908,James,M,7012,3,4543.1
US,1908,Ruth,F,6180,4,1848.6
US,1908,George,M,4584,4,2970.0
US,1908,Anna,F,5860,5,1752.8
US,1908,Robert,M,4220,5,2734.2
US,1908,Dorothy,F,5703,6,1705.9
US,1908,Joseph,M,4162,6,2696.6
US,1908,Elizabeth,F,4904,7,1466.9
US,1908,Charles,M,3929,7,2545.6
US,1908,Mildred,F,4624,8,1383.1
US,1908,Frank,M,3146,8,2038.3
US,1908,Alice,F,4270,9,1277.2
US,1908,Edward,M,2707,9,1753.9
US,1908,Marie,F,4076,10,1219.2
US,1908,Thomas,M,2301,10,1490.8
US,1909,Mary,F,19259,1,5546.4
US,1909,John,M,9591,1,5848.2
US,1909,Helen,F,9250,2,2663.9
US,1909,William,M,7914,2,4825.6
US,1909,Margaret,F,7359,3,2119.3
US,1909,James,M,7594,3,4630.5
US,1909,Ruth,F,6509,4,1874.5
US,1909,George,M,4688,4,2858.6
US,1909,Dorothy,F,6253,5,1800.8
US,1909,Robert,M,4563,5,2782.3
US,1909,Anna,F,5804,6,1671.5
US,1909,Joseph,M,4348,6,2651.2
US,1909,Elizabeth,F,5176,7,1490.6
US,1909,Charles,M,4030,7,2457.3
US,1909,Mildred,F,5054,8,1455.5
US,1909,Frank,M,3244,8,1978.1
US,1909,Marie,F,4301,9,1238.7
US,1909,Edward,M,2935,9,1789.6
US,1909,Alice,F,4170,10,1200.9
US,1909,Thomas,M,2468,10,1504.9
US,1910,Mary,F,22848,1,5762.4
US,1910,John,M,11450,1,5895.5
US,1910,Helen,F,10479,2,2642.9
US,1910,James,M,9195,2,4734.4
US,1910,Margaret,F,8226,3,2074.6
US,1910,William,M,8844,3,4553.7
US,1910,Dorothy,F,7318,4,1845.6
US,1910,Robert,M,5610,4,2888.5
US,1910,Ruth,F,7212,5,1818.9
US,1910,George,M,5441,5,2801.5
US,1910,Anna,F,6436,6,1623.2
US,1910,Joseph,M,5228,6,2691.8
US,1910,Elizabeth,F,5800,7,1462.8
US,1910,Charles,M,4785,7,2463.8
US,1910,Mildred,F,5692,8,1435.6
US,1910,Frank,M,3768,8,1940.1
US,1910,Marie,F,4790,9,1208.1
US,1910,Edward,M,3408,9,1754.7
US,1910,Alice,F,4671,10,1178.0
US,1910,Henry,M,2899,10,1492.7
US,1911,Mary,F,24390,1,5830.7
US,1911,John,M,13445,1,5950.0
US,1911,Helen,F,11802,2,2821.4
US,1911,William,M,10593,2,4687.9
US,1911,Margaret,F,9279,3,2218.2
US,1911,James,M,9951,3,4403.7
US,1911,Dorothy,F,8869,4,2120.2
US,1911,George,M,6586,4,2914.6
US,1911,Ruth,F,8003,5,1913.2
US,1911,Robert,M,6526,5,2888.0
US,1911,Anna,F,6753,6,1614.4
US,1911,Joseph,M,6488,6,2871.2
US,1911,Elizabeth,F,6298,7,1505.6
US,1911,Charles,M,5725,7,2533.6
US,1911,Mildred,F,6271,8,1499.1
US,1911,Frank,M,4314,8,1909.1
US,1911,Marie,F,5017,9,1199.4
US,1911,Edward,M,4164,9,1842.7
US,1911,Frances,F,4967,10,1187.4
US,1911,Thomas,M,3293,10,1457.3
US,1912,Mary,F,32303,1,5787.9
US,1912,John,M,24587,1,5718.6
US,1912,Helen,F,16133,2,2890.6
US,1912,William,M,19626,2,4564.8
US,1912,Dorothy,F,12645,3,2265.7
US,1912,James,M,17644,3,4103.8
US,1912,Margaret,F,12535,4,2246.0
US,1912,Robert,M,12837,4,2985.7
US,1912,Ruth,F,11280,5,2021.1
US,1912,Joseph,M,12062,5,2805.5
US,1912,Mildred,F,8764,6,1570.3
US,1912,George,M,11734,6,2729.2
US,1912,Anna,F,8586,7,1538.4
US,1912,Charles,M,11070,7,2574.7
US,1912,Elizabeth,F,8528,8,1528.0
